Id;State;Region
AL;ALABAMA;SOUTH
AR;ARKANSAS;SOUTH
NC;NORTH CAROLINA;SOUTH
SC;SOUTH CAROLINA;SOUTH
FL;FLORIDA;SOUTH
GA;GEORGIA;SOUTH
KY;KENTUCKY;SOUTH
DE;DELAWARE;SOUTH
LA;LOUISIANA;SOUTH
MD;MARYLAND;SOUTH
MS;MISSISSIPPI;SOUTH
OK;OKLAHOMA;SOUTH
TN;TENNESSEE;SOUTH
TX;TEXAS;SOUTH
VA;VIRGINIA;SOUTH
WV;WEST VIRGINIA;SOUTH
ND;NORTH DAKOTA;MIDWEST
SD;SOUTH DAKOTA;MIDWEST
IL;ILLINOIS;MIDWEST
IN;INDIANA;MIDWEST
IA;IOWA;MIDWEST
KS;KANSAS;MIDWEST
MI;MICHIGAN;MIDWEST
MN;MINNESOTA;MIDWEST
MO;MISSOURI;MIDWEST
NE;NEBRASKA;MIDWEST
OH;OHIO;MIDWEST
WI;WISCONSIN;MIDWEST
NY;NEW YORK;NORTH
PA;PENNSYLVANIA;NORTH
NJ;NEW JERSEY;NORTH
MA;MASSACHUSETTS;NORTH
CT;CONNECTICUT;NORTH
NH;NEW HAMPSHIRE;NORTH
ME;MAINE;NORTH
RI;RHODE ISLAND;NORTH
VT;VERMONT;NORTH
AZ;ARIZONA;WEST
CA;CALIFORNIA;WEST
CO;COLORADO;WEST
ID;IDAHO;WEST
MT;MONTANA;WEST
NM;NEW MEXICO;WEST
NV;NEVADA;WEST
OR;OREGON;WEST
UT;UTAH;WEST
WA;WASHINGTON;WEST
WY;WYOMING;WEST
AK;ALASKA;WEST
HI;HAWAII;WEST
